"sender","recipient","interactiontime"
"CB","AA","2014-03-29 14:25:51"
"CB","T","2014-05-17 21:16:52"
"CB","JC","2014-05-05 18:19:15"
"CB","AA","2014-05-07 18:08:33"
"CB","AA","2014-06-01 07:55:18"
"CB","JC","2014-05-06 07:17:41"
"CB","HF","2014-06-07 11:30:43"
"CB","DC","2014-06-06 07:07:27"
"CB","DC","2014-05-04 06:59:49"
"CB","ss","2014-05-13 05:48:42"
"CB","ss","2014-05-27 07:17:17"
"CB","AA","2014-05-21 06:41:37"
"CB","JC","2014-06-05 20:21:25"
"CB","AA","2014-06-08 11:08:19"
"CB","DC","2014-05-06 11:26:01"
"CB","AA","2014-04-01 07:40:50"
"CB","JC","2014-05-07 07:08:29"
"CB","DC","2014-06-07 17:14:49"
"CB","JC","2014-05-12 14:40:46"
"CB","HF","2014-04-17 21:03:23"
"CB","DC","2014-06-07 20:07:36"
"CB","AA","2014-05-27 07:17:24"
"CB","HF","2014-05-20 06:53:55"
"CB","AA","2014-05-15 10:50:54"
"CB","DC","2014-02-27 07:51:22"
"CB","JC","2014-05-07 16:02:16"
"CB","AA","2014-06-09 10:54:19"
"CB","DC","2014-05-08 06:26:43"
"CB","AA","2014-06-02 19:33:55"
"CB","ss","2014-05-28 15:03:44"
"CB","AA","2014-05-27 17:05:54"
"CB","T","2014-05-21 13:30:52"
"CB","E","2014-03-19 09:03:17"
"CB","T","2014-05-26 09:07:32"
"CB","JC","2014-03-13 20:15:59"
"CB","JC","2014-04-13 07:43:34"
"CB","AA","2014-06-03 07:32:19"
"CB","JC","2014-06-07 18:48:54"
"CB","HF","2014-06-09 10:54:19"
"CB","JC","2014-06-09 10:54:19"
"CB","AA","2014-05-22 20:30:37"
"CB","JC","2014-05-19 12:09:00"
"CB","E","2014-06-08 12:01:58"
"CB","AA","2014-05-23 08:19:04"
"CB","JC","2014-05-08 19:24:42"
"CB","T","2014-05-04 07:22:23"
"CB","DC","2014-05-29 09:10:11"
"CB","JC","2014-06-07 20:47:30"
"CB","JC","2014-05-09 06:22:18"
"CB","JC","2014-05-20 06:26:42"
"CB","JC","2014-03-19 09:03:17"
"CB","HF","2014-06-01 07:56:19"
"CB","ss","2014-05-31 08:51:36"
"CB","E","2014-03-29 14:26:16"
"CB","AA","2014-05-10 20:34:18"
"CB","HF","2014-05-23 20:07:53"
"CB","HF","2014-06-01 12:09:53"
"CB","ss","2014-05-16 14:49:41"
"CB","JC","2014-03-22 09:10:32"
"CB","E","2014-06-06 20:11:42"
"CB","JC","2014-05-27 07:17:17"
"CB","JC","2014-04-18 21:04:56"
"CB","AA","2014-06-04 07:28:29"
"CB","AA","2014-05-24 08:45:00"
"CB","JC","2014-05-21 20:51:37"
"CB","AA","2014-05-29 19:53:55"
"CB","DC","2014-06-07 20:47:08"
"CB","HF","2014-06-02 14:19:12"
"CB","ss","2014-05-05 19:27:26"
"CB","AA","2014-05-12 09:02:47"
"CB","JC","2014-03-25 18:49:23"
"CB","JC","2014-04-21 09:33:02"
"CB","DC","2014-03-13 20:16:13"
"CB","HF","2014-05-24 21:24:51"
"CB","AA","2014-05-18 08:03:57"
"CB","AA","2014-06-05 07:40:59"
"CB","AA","2014-05-24 21:24:23"
"CB","JC","2014-05-10 16:35:37"
"CB","JC","2014-05-23 19:49:38"
"CB","JC","2014-06-02 19:32:41"
"CB","HF","2014-06-04 07:26:23"
"CB","DC","2014-06-01 07:55:23"
"CB","AA","2014-05-25 07:15:17"
"CB","JC","2014-05-24 08:44:24"
"CB","ss","2014-05-07 16:02:39"
"CB","JC","2014-03-29 13:25:27"
"CB","AA","2014-05-30 20:16:25"
"CB","JC","2014-05-17 10:08:27"
"CB","JC","2014-06-03 07:31:55"
"CB","JC","2014-03-29 20:12:05"
"CB","DC","2014-05-19 12:08:54"
"CB","JC","2014-04-25 09:07:08"
"CB","JC","2014-05-24 10:53:46"
"CB","ss","2014-05-07 20:37:54"
"CB","HF","2014-05-26 09:06:09"
"CB","HF","2014-03-29 10:47:53"
